name,email,Wybrany dnia,Lista,Okręg wyborczy,Liczba głosów,Ślubowanie,Staż parlamentarny,Klub/koło,Data i miejsce urodzenia,Wykształcenie,Ukończona szkoła,Zawód,Funkcja w klubie/kole,Tytuł/stopień naukowy,Wybrana dnia,Funkcja w Sejmie,Wygaśnięcie mandatu
Andrzej Adamczyk,Andrzej.Adamczyk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,13  Kraków,29686,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-01-1959, Krzeszowice",wyższe,"Społeczna Akademia Nauk w Łodzi, Wydział Zarządzania, Rachunkowośc i finanse w zarządzaniu - licencjat (2014)",parlamentarzysta,,,,,
Rafał Adamczyk,Rafal.Adamczyk@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,32  Katowice,12148,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","30-05-1974, Dąbrowa Górnicza",wyższe,"Politechnika Śląska, Organizacja i Zarządzanie, Zarządzanie przedsiębiorstwem i marketing przemysłowy - magister inżynier (1999)Wyższa Szkoła Techniczna w Katowicach, Urbanistyka i planowanie przestrzenne, Urbanistyka i planowanie przestrzenne (2009) - studia podyplomowe",samorządowiec,,,,,
Piotr Adamowicz,Piotr.Adamowicz@sejm.pl,13-10-2019,Koalicja Obywatelska,25  Gdańsk,41795,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","26-06-1961, Elbląg",średnie ogólne,VI LO Gdańsk (1980),dziennikarz,,,,,
Romuald Ajchler,Romuald.Ajchler@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,38  Piła,14438,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji, poseł VII kadencji","Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","19-01-1949, Duszniki Wielkopolskie",średnie zawodowe,"Państwowe Technikum Rolnicze, Rolnictwo - technik (1968)",rolnik,,,,,
Adam Andruszkiewicz,Adam.Andruszkiewicz@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,24  Białystok,29829,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"30-06-1990, Grajewo",wyższe,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Stosunki międzynarodowe - magister (2014)",parlamentarzysta,,,,,
Waldemar Andzel,Waldemar.Andzel@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,32  Katowice,21723,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"17-09-1971, Czeladź",wyższe,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych, Politologia - magister (1996)Uniwersytet Śląski w Katowicach, Organizacja Pomocy Społecznej (1999) - studia podyplomoweAkademia WSB w Dąbrowie Górniczej, MBA (2018) - studia podyplomowe",politolog,wiceprzewodniczący,,,,
Tomasz Aniśko,Tomasz.Anisko@sejm.pl,13-10-2019,Koalicja Obywatelska,8  Zielona Góra,23870,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-04-1963, Ośno Lubuskie",wyższe,"Akademia Rolnicza w Poznaniu, Wydział Ogrodniczy, Ogrodnictwo - magister inżynier (1987)University of Georgia, USA, Ogrodnictwo - Doctor of Philosophy (Ph.D.) (1995)",architekt krajobrazu,, Doctor of Philosophy (Ph.D.),,,
Jan Krzysztof Ardanowski,Jan.Ardanowski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,5  Toruń,76267,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"11-02-1961, Czernikowo",wyższe,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Rolniczy, Rolnictwo - magister inżynier (1985)",inżynier rolnictwa,,,,,
Iwona Arent,Iwona.Arent@sejm.pl,,Prawo i Sprawiedliwość,35  Olsztyn,17916,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-06-1968, Olsztyn",wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Politologia i nauki społeczne - magister (1999)Uniwersytet Warmińsko-Mazurski, Rachunkowość (2002) - studia podyplomoweCollegium Civitas pod patronatem Studiów Politycznych, Stosunki międzynarodowe i dyplomacja, Stosunki międzynarodowe i dyplomacja (2012) - studia podyplomowe",politolog,,,13-10-2019,,
Marek Ast,Marek.Ast@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,8  Zielona Góra,36073,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-09-1958, Zielona Góra",wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1984)",radca prawny,członek prezydium,,,,
